-2.17E-03,-1.69E-03,-1.21E-03,-7.28E-04,-2.47E-04,2.35E-04,7.16E-04,1.20E-03,1.68E-03,2.16E-03
-2.14E-03,-1.67E-03,-1.19E-03,-7.17E-04,-2.43E-04,2.31E-04,7.06E-04,1.18E-03,1.65E-03,2.13E-03
-2.11E-03,-1.64E-03,-1.17E-03,-7.06E-04,-2.39E-04,2.28E-04,6.95E-04,1.16E-03,1.63E-03,2.10E-03
-2.07E-03,-1.61E-03,-1.15E-03,-6.95E-04,-2.35E-04,2.24E-04,6.84E-04,1.14E-03,1.60E-03,2.06E-03
-2.04E-03,-1.59E-03,-1.14E-03,-6.84E-04,-2.32E-04,2.21E-04,6.73E-04,1.13E-03,1.58E-03,2.03E-03
-2.01E-03,-1.56E-03,-1.12E-03,-6.73E-04,-2.28E-04,2.17E-04,6.62E-04,1.11E-03,1.55E-03,2.00E-03
-1.98E-03,-1.54E-03,-1.10E-03,-6.62E-04,-2.24E-04,2.14E-04,6.52E-04,1.09E-03,1.53E-03,1.97E-03
-1.94E-03,-1.51E-03,-1.08E-03,-6.51E-04,-2.20E-04,2.10E-04,6.41E-04,1.07E-03,1.50E-03,1.93E-03
-1.91E-03,-1.49E-03,-1.06E-03,-6.40E-04,-2.17E-04,2.07E-04,6.30E-04,1.05E-03,1.48E-03,1.90E-03
-1.88E-03,-1.46E-03,-1.05E-03,-6.29E-04,-2.13E-04,2.03E-04,6.19E-04,1.04E-03,1.45E-03,1.87E-03
-1.84E-03,-1.44E-03,-1.03E-03,-6.18E-04,-2.09E-04,2.00E-04,6.08E-04,1.02E-03,1.43E-03,1.83E-03
-1.81E-03,-1.41E-03,-1.01E-03,-6.07E-04,-2.05E-04,1.96E-04,5.98E-04,9.99E-04,1.40E-03,1.80E-03
-1.78E-03,-1.38E-03,-9.90E-04,-5.96E-04,-2.02E-04,1.93E-04,5.87E-04,9.81E-04,1.38E-03,1.77E-03
-1.75E-03,-1.36E-03,-9.72E-04,-5.85E-04,-1.98E-04,1.89E-04,5.76E-04,9.63E-04,1.35E-03,1.74E-03
-1.71E-03,-1.33E-03,-9.53E-04,-5.74E-04,-1.94E-04,1.86E-04,5.65E-04,9.45E-04,1.32E-03,1.70E-03
